States,Sector,Yearly Sales,Sales,Revenue,Area (Sq Ft),Profit per Sq Ft,Property Tax Rate,Property Tax Amount,Growth Rate
West Bengal,Residential,Feb-2023,78,38071568,1161,32792.0482342808,19.7194563574587,7507506.23636021,0
Delhi,Commercial,May-2022,321,47924280,4003,11972.0909318012,8.84795093666372,4240316.78114934,0
Rajasthan,Residential,Jan-2020,298,39804715,3352,11874.9149761337,14.8126190221111,5896120.78578712,0
Uttar Pradesh,Residential,Oct-2023,259,1574961,2966,531.005057316251,7.9714644913961,125547.456868337,0
West Bengal,Commercial,Sep-2021,45,21902894,1487,14729.5857431069,13.4799538185742,2952499.99613125,0
Telangana,Retail,Jan-2020,248,12450571,2046,6085.32306940372,11.958987300325,1488962.20470795,0
Tamil Nadu,Retail,Aug-2020,157,19655151,1149,17106.3107049608,19.5800799444731,3848494.2790069,0
West Bengal,Residential,Jan-2024,476,13366619,1468,9105.32629427793,14.127909090447,1888423.78078642,6.10253891719635
Rajasthan,Commercial,Apr-2023,236,2974968,3137,948.348103283392,10.2425955813023,304713.940913157,0
Uttar Pradesh,Residential,Oct-2020,253,40220592,1600,25137.87,6.711436773319,2699379.6019346,-0.0584770474543312
Delhi,Industrial,Jan-2025,346,47623764,940,50663.5787234043,7.26870243102402,3461629.69161314,0
Rajasthan,Industrial,Jan-2023,455,23249774,1269,18321.3349093775,8.37975394926853,1948273.85496101,0
Rajasthan,Residential,Apr-2020,374,2942266,1843,1596.45469343462,8.76449992010447,257874.901219261,-0.618948615460326
Tamil Nadu,Retail,Jan-2025,491,4937677,4858,1016.40119390696,17.7592408676171,876893.951694928,0.264322289548487
Gujarat,Retail,Feb-2022,210,47847699,4229,11314.1875147789,13.4183418242379,6420367.80685245,0
Uttar Pradesh,Residential,Dec-2020,163,10107366,4406,2294.00045392646,12.8508636706155,1298883.82535014,-0.511608383315964
Karnataka,Residential,Nov-2024,459,5741218,2077,2764.1877708233,6.72153307803826,385897.866952287,0
Rajasthan,Industrial,Oct-2020,82,27321567,4508,6060.6847826087,17.9020954002415,4891132.98918091,2.04993841688894
Gujarat,Retail,Nov-2021,210,5981140,3851,1553.13944430018,15.8422145481273,947545.031223859,-0.145591985494126
Karnataka,Residential,Nov-2024,305,24491831,2849,8596.64127764128,6.01502542850002,1473189.86255525,-0.832147091527773
Uttar Pradesh,Industrial,Oct-2021,26,31747234,4102,7739.45246221355,15.6175264584465,4958132.66977493,0
